mittlere_position	herkunft	zeichen	in_prompts	satz
48.0	scenePrompt	1778	1/26	Where the characters from the reference images are in this particular scene — they are NOT all lined up at the front, each one stands exactly where it says here, each doing their own thing, never standing still and never posed neutrally: the boy from reference image 2 (short wavy brown hair, a blue-and-white checked shirt), right now trudging ahead in single file, well back in the scene, noticeably smaller than the people at the front, but still drawn with enough care that hair, face and clothing read clearly — never shrunk down to one of the tiny background figures, on the right side of the image; the girl from reference image 3 (short wavy black hair, a cream polka dot top), right now drinking from a water bottle, in the middle distance, drawn small enough that it would fit at least fourteen times over into the image height, on the left side of the image; the man from reference image 4 (short wavy red hair, a green jumper), right now climbing over a boulder, at the front of the scene, drawn small enough that it would fit at least eight times over into the image height, in the right half, clearly right of the middle; the woman from reference image 5 (short wavy grey hair, a yellow raincoat), right now pointing down into the valley, well back in the scene, noticeably smaller than the people at the front, but still drawn with enough care that hair, face and clothing read clearly — never shrunk down to one of the tiny background figures, in the left half, clearly left of the middle; the girl from reference image 6 (short wavy blond hair, a red striped dress), right now stroking a cow at the side of the path, in the middle distance, drawn small enough that it would fit at least fourteen times over into the image height, on the right side of the image.
48.0	scenePrompt	1828	1/26	Where the characters from the reference images are in this particular scene — they are NOT all lined up at the front, each one stands exactly where it says here, each doing their own thing, never standing still and never posed neutrally: the boy from reference image 2 (short wavy brown hair, a blue-and-white checked shirt), right now stopping in front of a street musician, in the middle distance, drawn small enough that it would fit at least fourteen times over into the image height, in the right half, clearly right of the middle; the girl from reference image 3 (short wavy black hair, a cream polka dot top), right now carrying a long loaf under one arm, well back in the scene, noticeably smaller than the people at the front, but still drawn with enough care that hair, face and clothing read clearly — never shrunk down to one of the tiny background figures, on the left side of the image; the man from reference image 4 (short wavy red hair, a green jumper), right now standing in the queue at the ice cream parlour, at the front of the scene, drawn small enough that it would fit at least eight times over into the image height, on the right side of the image; the woman from reference image 5 (short wavy grey hair, a yellow raincoat), right now pushing a scooter along beside them, in the middle distance, drawn small enough that it would fit at least fourteen times over into the image height, in the left half, clearly left of the middle; the girl from reference image 6 (short wavy blond hair, a red striped dress), right now counting coins in their hand, well back in the scene, noticeably smaller than the people at the front, but still drawn with enough care that hair, face and clothing read clearly — never shrunk down to one of the tiny background figures, in the right half, clearly right of the middle.
48.0	scenePrompt	1683	1/26	Where the characters from the reference images are in this particular scene — they are NOT all lined up at the front, each one stands exactly where it says here, each doing their own thing, never standing still and never posed neutrally: the boy from reference image 2 (short wavy brown hair, a blue-and-white checked shirt), right now climbing the ladder to the slide, at the front of the scene, drawn small enough that it would fit at least eight times over into the image height, on the left side of the image; the girl from reference image 3 (short wavy black hair, a cream polka dot top), right now pulling a handcart along behind them, in the middle distance, drawn small enough that it would fit at least fourteen times over into the image height, in the right half, clearly right of the middle; the man from reference image 4 (short wavy red hair, a green jumper), right now holding a ball under one arm, well back in the scene, noticeably smaller than the people at the front, but still drawn with enough care that hair, face and clothing read clearly — never shrunk down to one of the tiny background figures, in the left half, clearly left of the middle; the woman from reference image 5 (short wavy grey hair, a yellow raincoat), right now blowing soap bubbles, at the front of the scene, drawn small enough that it would fit at least eight times over into the image height, on the right side of the image; the girl from reference image 6 (short wavy blond hair, a red striped dress), right now hanging from the climbing frame, in the middle distance, drawn small enough that it would fit at least fourteen times over into the image height, on the left side of the image.
48.3	CUTAWAY_SCALE_RULE	104	6/26	A picture in which the people downstairs are large and the people upstairs are tiny is a failed picture.
48.6	HERO_FINDABILITY_RULE	150	26/26	Finding the named characters is meant to be a small game for the reader, so they are spread across the picture and never grouped together in one spot.
49.3	CUTAWAY_SCALE_RULE	130	6/26	Second, that one size is small: a standing grown-up reaches only about a quarter to a third of the height of the room they are in.
49.6	HERO_FINDABILITY_RULE	297	26/26	But each of them must still be easy to identify once found: fully visible, never half hidden behind an object or another character, never cut off by the edge of the image, never turned away from the viewer, and always drawn with the same care as the figures at the very front, whatever their size.
50.3	CUTAWAY_SCALE_RULE	175	6/26	The rooms are drawn generously tall and nobody comes anywhere near filling one — if a person's head is close to the ceiling, every figure in the house must be redrawn smaller.
50.6	FALZ_RULE	134	26/26	The picture spans a book's double page: a narrow strip down the exact middle, about a fourteenth of its width, vanishes into the fold.
51.0	scenePrompt	1168	1/26	Where the characters from the reference images are in this particular scene — they are NOT all lined up at the front, each one stands exactly where it says here, each doing their own thing, never standing still and never posed neutrally: the boy from reference image 2 (short wavy brown hair, a blue-and-white checked shirt), right now putting a candle into its holder, in one of the rooms at the very front of the cut-open house, drawn at exactly the same size as everyone else in the building, in the right half, clearly right of the middle; the girl from reference image 3 (short wavy black hair, a cream polka dot top), right now pulling the ribbon on a present, in one of the rooms towards the back or the top of the cut-open house, drawn at exactly the same size as everyone else in the building, and still with hair, face and clothing clearly readable, in the left half, clearly left of the middle; the man from reference image 4 (short wavy red hair, a green jumper), right now hanging a bauble on a lower branch, in one of the middle rooms of the cut-open house, drawn at exactly the same size as everyone else in the building, on the right side of the image.
51.3	CUTAWAY_SCALE_RULE	158	6/26	Third, this is a picture and not an architectural drawing: never label the rooms, not with letters, not with numbers, not with name plates or little captions.
51.6	FALZ_RULE	167	26/26	Keep every character from the reference images and their little scene clearly left or right of that strip; it shows only surroundings or unnamed background characters.
52.0	scenePrompt	1180	1/26	Where the characters from the reference images are in this particular scene — they are NOT all lined up at the front, each one stands exactly where it says here, each doing their own thing, never standing still and never posed neutrally: the boy from reference image 2 (short wavy brown hair, a blue-and-white checked shirt), right now wrapping a present in far too much paper, in one of the middle rooms of the cut-open house, drawn at exactly the same size as everyone else in the building, in the right half, clearly right of the middle; the girl from reference image 3 (short wavy black hair, a cream polka dot top), right now pulling the ribbon on a present, in one of the rooms towards the back or the top of the cut-open house, drawn at exactly the same size as everyone else in the building, and still with hair, face and clothing clearly readable, in the left half, clearly left of the middle; the man from reference image 4 (short wavy red hair, a green jumper), right now sitting by the fireplace holding a mug, in one of the rooms at the very front of the cut-open house, drawn at exactly the same size as everyone else in the building, on the right side of the image.
52.0	scenePrompt	70	2/26	That one-size rule covers ONLY the rooms inside the cut-open building.
52.6	heldEinmalSatz	125	26/26	The boy from reference image 2 appears only once and is the only child in the picture wearing a blue-and-white checked shirt.
53.0	scenePrompt	1817	1/26	Where the characters from the reference images are in this particular scene — they are NOT all lined up at the front, each one stands exactly where it says here, each doing their own thing, never standing still and never posed neutrally: the boy from reference image 2 (short wavy brown hair, a blue-and-white checked shirt), right now hanging a bauble on a lower branch, in one of the middle rooms of the cut-open house, drawn at exactly the same size as everyone else in the building, in the left half, clearly left of the middle; the girl from reference image 3 (short wavy black hair, a cream polka dot top), right now putting a candle into its holder, in one of the rooms towards the back or the top of the cut-open house, drawn at exactly the same size as everyone else in the building, and still with hair, face and clothing clearly readable, in the right half, clearly right of the middle; the man from reference image 4 (short wavy red hair, a green jumper), right now wrapping a present in far too much paper, in one of the rooms at the very front of the cut-open house, drawn at exactly the same size as everyone else in the building, on the left side of the image; the woman from reference image 5 (short wavy grey hair, a yellow raincoat), right now carrying a plate of biscuits with both hands, in one of the middle rooms of the cut-open house, drawn at exactly the same size as everyone else in the building, on the right side of the image; the girl from reference image 6 (short wavy blond hair, a red striped dress), right now looking down through the banister, in one of the rooms towards the back or the top of the cut-open house, drawn at exactly the same size as everyone else in the building, and still with hair, face and clothing clearly readable, in the left half, clearly left of the middle.
53.0	scenePrompt	200	2/26	Outside it, on the street and in the surroundings, the ordinary rules of depth apply as everywhere else: people nearer the front are larger, people further away smaller, shrinking towards the horizon.
53.0	scenePrompt	1180	1/26	Where the characters from the reference images are in this particular scene — they are NOT all lined up at the front, each one stands exactly where it says here, each doing their own thing, never standing still and never posed neutrally: the boy from reference image 2 (short wavy brown hair, a blue-and-white checked shirt), right now looking down through the banister, well back in the scene, noticeably smaller than the people at the front, but still drawn with enough care that hair, face and clothing read clearly — never shrunk down to one of the tiny background figures, on the right side of the image; the girl from reference image 3 (short wavy black hair, a cream polka dot top), right now steadying the tree while someone adjusts the stand, in the middle distance, drawn small enough that it would fit at least twelve times over into the image height, on the left side of the image; the man from reference image 4 (short wavy red hair, a green jumper), right now carrying a plate of biscuits with both hands, at the front of the scene, drawn small enough that it would fit at least seven times over into the image height, in the right half, clearly right of the middle.
53.6	heldEinmalSatz	117	26/26	The girl from reference image 3 appears only once and is the only child in the picture wearing a cream polka dot top.
54.0	scenePrompt	1852	1/26	Where the characters from the reference images are in this particular scene — they are NOT all lined up at the front, each one stands exactly where it says here, each doing their own thing, never standing still and never posed neutrally: the boy from reference image 2 (short wavy brown hair, a blue-and-white checked shirt), right now sitting by the fireplace holding a mug, in one of the rooms at the very front of the cut-open house, drawn at exactly the same size as everyone else in the building, in the right half, clearly right of the middle; the girl from reference image 3 (short wavy black hair, a cream polka dot top), right now looking down through the banister, in one of the rooms towards the back or the top of the cut-open house, drawn at exactly the same size as everyone else in the building, and still with hair, face and clothing clearly readable, on the left side of the image; the man from reference image 4 (short wavy red hair, a green jumper), right now carrying a plate of biscuits with both hands, in one of the middle rooms of the cut-open house, drawn at exactly the same size as everyone else in the building, on the right side of the image; the woman from reference image 5 (short wavy grey hair, a yellow raincoat), right now wrapping a present in far too much paper, in one of the rooms at the very front of the cut-open house, drawn at exactly the same size as everyone else in the building, in the left half, clearly left of the middle; the girl from reference image 6 (short wavy blond hair, a red striped dress), right now steadying the tree while someone adjusts the stand, in one of the rooms towards the back or the top of the cut-open house, drawn at exactly the same size as everyone else in the building, and still with hair, face and clothing clearly readable, in the right half, clearly right of the middle.
54.6	heldEinmalSatz	107	26/26	The man from reference image 4 appears only once and is the only man in the picture wearing a green jumper.
55.0	scenePrompt	1809	1/26	Where the characters from the reference images are in this particular scene — they are NOT all lined up at the front, each one stands exactly where it says here, each doing their own thing, never standing still and never posed neutrally: the boy from reference image 2 (short wavy brown hair, a blue-and-white checked shirt), right now carrying a plate of biscuits with both hands, at the front of the scene, drawn small enough that it would fit at least seven times over into the image height, on the right side of the image; the girl from reference image 3 (short wavy black hair, a cream polka dot top), right now putting a candle into its holder, well back in the scene, noticeably smaller than the people at the front, but still drawn with enough care that hair, face and clothing read clearly — never shrunk down to one of the tiny background figures, on the left side of the image; the man from reference image 4 (short wavy red hair, a green jumper), right now looking down through the banister, in the middle distance, drawn small enough that it would fit at least twelve times over into the image height, in the right half, clearly right of the middle; the woman from reference image 5 (short wavy grey hair, a yellow raincoat), right now pulling the ribbon on a present, at the front of the scene, drawn small enough that it would fit at least seven times over into the image height, in the left half, clearly left of the middle; the girl from reference image 6 (short wavy blond hair, a red striped dress), right now wrapping a present in far too much paper, well back in the scene, noticeably smaller than the people at the front, but still drawn with enough care that hair, face and clothing read clearly — never shrunk down to one of the tiny background figures, on the right side of the image.
56.6	scenePrompt	111	26/26	The characters from the reference images above do exactly the activity given for each of them and nothing else.
56.6	heldEinmalSatz	114	13/26	The woman from reference image 5 appears only once and is the only woman in the picture wearing a yellow raincoat.
57.5	scenePrompt	125	12/26	Populate the whole scene with roughly 90 to 120 individual HUMAN figures — people, and only people count towards this number.
57.6	scenePrompt	196	26/26	The little scenes and running gags listed further below belong to the unnamed background characters — never hand one of them to a character from the reference images instead of their own activity.
57.6	heldEinmalSatz	115	13/26	The girl from reference image 6 appears only once and is the only child in the picture wearing a red striped dress.
59.6	scenePrompt	126	14/26	Populate the whole scene with roughly 100 to 130 individual HUMAN figures — people, and only people count towards this number.
59.6	scenePrompt	123	26/26	Animals do not count towards it at all: a place full of animals with only a couple of dozen people in it is a failed image.
60.5	SCENE_PHASES	207	12/26	Roughly how the people are spread: a small handful at the very front, two to three dozen in the middle distance, and the clear majority as small figures further back and in the surrounding streets and rooms.
60.6	scenePrompt	80	26/26	Draw plenty of animals as well, but on top of the people, never instead of them.
61.0	SCENE_PHASES	212	10/26	Roughly how the people are spread: a small handful at the very front, two to three dozen in the middle distance, and the clear majority as small figures further back, filling the scene all the way to the horizon.
61.7	THREE_LAYER_RULE	233	22/26	The scene must show three clearly different character sizes: the front figures (the biggest in the picture, but still small against the whole scene), noticeably smaller midground figures, and a lot of much smaller background figures.
62.7	THREE_LAYER_RULE	101	22/26	A viewer should be able to tell at a glance which layer any character belongs to, just from its size.
63.7	THREE_LAYER_RULE	145	22/26	An image in which nearly all characters are about the same size across the whole surface is a failed image, no matter how much is going on in it.
64.0	densityInstruction (Hintergrund-Regionen)	582	4/26	In the background layer (drawn small enough that it would fit at least twenty-five times over into the image height) there are people absolutely everywhere, and this is not a counted number but a continuous presence across the whole depth of the picture: in the farmyard, near the barn, in the orchard and by the fields — along every path, every edge, every doorway and every open stretch of ground, people working, walking, standing about and watching, some alone, many in twos and threes, and in places whole clusters of them, carrying on unbroken all the way back to the horizon.
64.0	Vignetten (sceneLayerText)	132	1/26	In the midground, on the left side of the scene: a long table out in the yard with a dozen people sitting along it, eating together.
64.0	densityInstruction (Hintergrund-Regionen)	591	4/26	In the background layer (drawn small enough that it would fit at least twenty-five times over into the image height) there are people absolutely everywhere, and this is not a counted number but a continuous presence across the whole depth of the picture: on the sand, by the water, on the boardwalk and under the beach umbrellas — along every path, every edge, every doorway and every open stretch of ground, people working, walking, standing about and watching, some alone, many in twos and threes, and in places whole clusters of them, carrying on unbroken all the way back to the horizon.
64.0	Vignetten (sceneLayerText)	107	1/26	In the midground, on the left side of the scene: a row of eight sunbathers packed side by side on the sand.
64.0	densityInstruction (Hintergrund-Regionen)	600	4/26	In the background layer (drawn small enough that it would fit at least twenty-five times over into the image height) there are people absolutely everywhere, and this is not a counted number but a continuous presence across the whole depth of the picture: on the hiking trail, by the mountain hut, in the alpine meadow and near the summit — along every path, every edge, every doorway and every open stretch of ground, people working, walking, standing about and watching, some alone, many in twos and threes, and in places whole clusters of them, carrying on unbroken all the way back to the horizon.
64.0	densityInstruction (Hintergrund-Regionen)	599	4/26	In the background layer (drawn small enough that it would fit at least twenty-five times over into the image height) there are people absolutely everywhere, and this is not a counted number but a continuous presence across the whole depth of the picture: on the sidewalk, at the market stalls, outside the shops and at the street corner — along every path, every edge, every doorway and every open stretch of ground, people working, walking, standing about and watching, some alone, many in twos and threes, and in places whole clusters of them, carrying on unbroken all the way back to the horizon.
64.0	Vignetten (sceneLayerText)	107	1/26	In the midground, on the left side of the scene: a pavement cafe with a dozen people at the outside tables.
64.0	densityInstruction (Hintergrund-Regionen)	585	4/26	In the background layer (drawn small enough that it would fit at least twenty-five times over into the image height) there are people absolutely everywhere, and this is not a counted number but a continuous presence across the whole depth of the picture: on the playground, by the sandbox, near the swings and on the grass — along every path, every edge, every doorway and every open stretch of ground, people working, walking, standing about and watching, some alone, many in twos and threes, and in places whole clusters of them, carrying on unbroken all the way back to the horizon.
64.0	Vignetten (sceneLayerText)	118	1/26	In the background, on the left side of the scene: a group of a dozen children playing a chasing game across the grass.
65.0	densityInstruction	121	20/26	Nowhere in the back half of this image is there a stretch of ground, a path or a building without people on or around it.
65.0	Vignetten (sceneLayerText)	114	1/26	In the midground, on the right side of the scene: a queue of about eight children waiting their turn at the slide.
66.0	Vignetten (sceneLayerText)	101	1/26	In the background, on the left side of the scene: a line of twelve people waiting at the beach kiosk.
66.0	Vignetten (sceneLayerText)	139	1/26	In the midground, on the left side of the scene: a cluster of eight people crowded around a signpost, all pointing in different directions.
66.0	Vignetten (sceneLayerText)	105	2/26	In the midground, on the left side of the scene: a family of six resting together on a bench with a view.
66.0	Vignetten (sceneLayerText)	122	1/26	In the midground, on the left side of the scene: a group of ten people packed onto a zebra crossing, all crossing at once.
66.0	Vignetten (sceneLayerText)	113	1/26	In the midground, on the left side of the scene: a queue of about eight children waiting their turn at the slide.
66.0	Vignetten (sceneLayerText)	108	1/26	In the midground, on the right side of the scene: a family picnic with nine people spread over two blankets.
66.5	SCENE_PHASES	208	4/26	Roughly how the people are spread: every room in the house holds its own small group, the busiest rooms a dozen or more, the quietest at least two or three, and nobody is left standing alone in an empty room.
66.6	densityInstruction	115	24/26	Each of them is doing their own tiny activity or little visual joke — true busy seek-and-find picture-book density.
67.0	Vignetten (sceneLayerText)	129	2/26	In the background, on the left side of the scene: a school class of twelve children being led across the yard in a straggly line.
67.0	Vignetten (sceneLayerText)	133	1/26	In the midground, on the right side of the scene: a long table out in the yard with a dozen people sitting along it, eating together.
67.0	Vignetten (sceneLayerText)	133	1/26	In the background, on the right side of the scene: a cluster of about nine people crowded around a pedalo being dragged up the beach.
67.0	Vignetten (sceneLayerText)	90	1/26	In the midground, on the left side of the scene: a beach volleyball flying into the water.
67.0	Vignetten (sceneLayerText)	93	1/26	In the midground, on the left side of the scene: two hikers sharing a packed lunch on a rock.
67.0	Vignetten (sceneLayerText)	91	1/26	In the midground, on the left side of the scene: a squirrel running along a row of benches.
67.3	Vignetten (sceneLayerText)	104	3/26	In the midground, on the right side of the scene: a queue of about ten walkers at the cable car station.
67.5	Vignetten (sceneLayerText)	136	2/26	In the background, on the right side of the scene: a row of spectators leaning on the paddock fence, eight or nine of them side by side.
67.5	densityInstruction	466	4/26	Throughout the house there are people absolutely everywhere, and this is not a counted number but a continuous presence through the whole depth of it: by the Christmas tree, in the kitchen, on the stairs and by the fireplace — in every room, on the stairs, in every doorway, hallway and corner, people busy with something, some alone, many in twos and threes, and in places whole clusters of them, carrying on unbroken right through to the furthest room at the back.
67.5	Vignetten (sceneLayerText)	111	2/26	In the background, on the right side of the scene: a group of about nine people gathered around a summit cross.
67.7	Vignetten (sceneLayerText)	108	3/26	In the midground, on the right side of the scene: a cluster of nine people crowded around a newspaper kiosk.
68.0	Vignetten (sceneLayerText)	127	1/26	In the background, on the left side of the scene: a cluster of eight people in the kitchen doorway, all trying to help at once.
68.0	Vignetten (sceneLayerText)	102	2/26	In the background, on the right side of the scene: a line of twelve people waiting at the beach kiosk.
68.0	Vignetten (sceneLayerText)	116	2/26	In the background, on the right side of the scene: a swimming lesson with a dozen children lined up in the shallows.
68.0	Vignetten (sceneLayerText)	105	1/26	In the midground, on the left side of the scene: a family of six crowded under one far too small parasol.
68.0	Vignetten (sceneLayerText)	95	1/26	In the background, on the left side of the scene: everyone and waving their arms at the summit.
68.0	Vignetten (sceneLayerText)	113	1/26	In the background, on the left side of the scene: a street sweeper gathering leaves that the wind scatters again.
68.0	Vignetten (sceneLayerText)	122	1/26	In the background, on the left side of the scene: a school class of twelve children walking along the pavement two by two.
68.0	Vignetten (sceneLayerText)	98	1/26	In the background, on the left side of the scene: a child chalking a hopscotch grid onto the path.
68.0	Vignetten (sceneLayerText)	113	1/26	In the background, on the left side of the scene: a football game with twelve children and a handful of watchers.
68.5	Vignetten (sceneLayerText)	113	2/26	In the midground, on the right side of the scene: a family of five spread out on a picnic blanket in the orchard.
68.5	Vignetten (sceneLayerText)	149	2/26	In the background, on the right side of the scene: a harvest crew of eight working along a row of apple trees, some up ladders, some carrying crates.
68.5	densityInstruction	65	4/26	No room and no corner of this house is left without people in it.
68.5	Vignetten (sceneLayerText)	109	2/26	In the midground, on the right side of the scene: a group of ten children digging one enormous hole together.
68.5	Vignetten (sceneLayerText)	108	2/26	In the background, on the right side of the scene: a crowd of about fifteen people waiting at the tram stop.
69.0	Vignetten (sceneLayerText)	86	1/26	In the midground, on the right side of the scene: a cat creeping up on a bowl of milk.
69.0	Vignetten (sceneLayerText)	106	1/26	In the midground, on the left side of the scene: a choir of about ten people singing together by the door.
69.0	Vignetten (sceneLayerText)	94	1/26	In the midground, on the left side of the scene: a towel carried across the beach by the wind.
69.0	Vignetten (sceneLayerText)	103	1/26	In the midground, on the right side of the scene: someone dozing off almost getting caught by the tide.
69.0	Vignetten (sceneLayerText)	100	1/26	In the midground, on the left side of the scene: a child drawing with a finger in an old snow patch.
69.0	Vignetten (sceneLayerText)	106	1/26	In the midground, on the right side of the scene: a child jumping a stream with the backpack flying along.
69.0	Vignetten (sceneLayerText)	123	2/26	In the background, on the right side of the scene: a school class of twelve children walking along the pavement two by two.
69.0	Vignetten (sceneLayerText)	94	1/26	In the midground, on the left side of the scene: a waiter balancing a tray between the tables.
69.0	Vignetten (sceneLayerText)	117	1/26	In the midground, on the right side of the scene: a street performer standing so still everyone thinks he's a statue.
69.0	Vignetten (sceneLayerText)	106	2/26	In the background, on the right side of the scene: a birthday party with eleven children around one table.
69.0	Vignetten (sceneLayerText)	124	2/26	In the midground, on the right side of the scene: a ring of ten parents standing and talking while children run around them.
69.0	Vignetten (sceneLayerText)	95	1/26	In the midground, on the right side of the scene: a child pulling a handcart with a dog inside.
70.0	Vignetten (sceneLayerText)	136	1/26	In the background, on the left side of the scene: a cluster of about eight people crowding around a tractor that someone is showing off.
70.0	Vignetten (sceneLayerText)	91	1/26	In the background, on the right side of the scene: chickens pecking at someone's shoelaces.
70.0	Vignetten (sceneLayerText)	128	1/26	In the background, on the right side of the scene: a cluster of eight people in the kitchen doorway, all trying to help at once.
70.0	Vignetten (sceneLayerText)	108	1/26	In the midground, on the left side of the scene: a group of ten children digging one enormous hole together.
70.0	Vignetten (sceneLayerText)	95	2/26	In the background, on the left side of the scene: a towel carried across the beach by the wind.
70.0	Vignetten (sceneLayerText)	113	2/26	In the background, on the right side of the scene: a school group of twelve children with a guide at a viewpoint.
70.0	Vignetten (sceneLayerText)	109	1/26	In the background, on the left side of the scene: someone holding the map upside down while another turns it.
70.0	Vignetten (sceneLayerText)	110	1/26	In the background, on the left side of the scene: a group of about nine people gathered around a summit cross.
70.0	Vignetten (sceneLayerText)	98	1/26	In the background, on the left side of the scene: a parcel falling from a stack on a delivery van.
70.0	Vignetten (sceneLayerText)	125	1/26	In the background, on the left side of the scene: a queue of ten people outside a bakery, out of the door and along the wall.
70.0	Vignetten (sceneLayerText)	100	2/26	In the midground, on the left side of the scene: someone chasing after the bus and just catching it.
70.0	Vignetten (sceneLayerText)	84	1/26	In the background, on the right side of the scene: a dog tied to a lamppost waiting.
70.0	Vignetten (sceneLayerText)	123	1/26	In the midground, on the right side of the scene: a group of ten people packed onto a zebra crossing, all crossing at once.
70.0	Vignetten (sceneLayerText)	107	1/26	In the midground, on the left side of the scene: a family picnic with nine people spread over two blankets.
70.0	Vignetten (sceneLayerText)	101	1/26	In the background, on the right side of the scene: a child hanging upside down on the climbing frame.
70.5	Vignetten (sceneLayerText)	119	2/26	In the background, on the right side of the scene: a group of a dozen children playing a chasing game across the grass.
71.0	Vignetten (sceneLayerText)	104	2/26	In the midground, on the left side of the scene: a wheelbarrow used as a race car with two kids pushing.
71.0	Vignetten (sceneLayerText)	99	1/26	In the midground, on the right side of the scene: a dog herding three ducks in the wrong direction.
71.0	Vignetten (sceneLayerText)	84	1/26	In the midground, on the left side of the scene: the well overflowing into a puddle.
71.0	Vignetten (sceneLayerText)	90	1/26	In the midground, on the left side of the scene: a stork landing on the farmhouse chimney.
71.0	Vignetten (sceneLayerText)	103	1/26	In the midground, on the left side of the scene: an air mattress being pumped up with the plug missing.
71.0	Vignetten (sceneLayerText)	90	1/26	In the midground, on the left side of the scene: a child collecting driftwood into a pile.
71.0	Vignetten (sceneLayerText)	98	1/26	In the background, on the right side of the scene: a queue of ten people waiting at the chairlift.
71.0	Vignetten (sceneLayerText)	78	1/26	In the midground, on the left side of the scene: an eagle circling high above.
71.0	Vignetten (sceneLayerText)	105	1/26	In the midground, on the left side of the scene: a child jumping a stream with the backpack flying along.
71.0	Vignetten (sceneLayerText)	92	1/26	In the midground, on the left side of the scene: someone pushing a bicycle with a flat tyre.
71.0	Vignetten (sceneLayerText)	95	1/26	In the midground, on the left side of the scene: two pigeons sitting on a scooter's handlebars.
71.0	Vignetten (sceneLayerText)	110	2/26	In the background, on the left side of the scene: a balloon escaping a child's hand and floating into the sky.
71.0	Vignetten (sceneLayerText)	86	1/26	In the midground, on the right side of the scene: someone towing a child on a scooter.
71.0	Vignetten (sceneLayerText)	100	1/26	In the midground, on the left side of the scene: a dog carrying a far too big stick across the path.
71.0	Vignetten (sceneLayerText)	89	1/26	In the midground, on the left side of the scene: three kids building a den from branches.
72.0	Vignetten (sceneLayerText)	86	1/26	In the background, on the right side of the scene: the well overflowing into a puddle.
72.0	Vignetten (sceneLayerText)	128	1/26	In the midground, on the right side of the scene: a group of about ten children clambering over a stack of straw bales together.
72.0	Vignetten (sceneLayerText)	99	1/26	In the background, on the left side of the scene: a piglet running off with a cabbage in its mouth.
72.0	Vignetten (sceneLayerText)	101	1/26	In the background, on the left side of the scene: a toppled muck heap with chickens storming into it.
72.0	Vignetten (sceneLayerText)	113	2/26	In the background, on the right side of the scene: a group of ten carol singers with lanterns outside the window.
72.0	densityInstruction (Hintergrund-Regionen)	329	2/26	In the background layer (drawn small enough that it would fit at least twenty-five times over into the image height) there are people absolutely everywhere, and this is not a counted number but a continuous presence across the whole depth of the picture: by the Christmas tree, in the kitchen, on the stairs and by the fireplace.
72.0	Vignetten (sceneLayerText)	100	1/26	In the background, on the right side of the scene: a dog digging a huge sandy hole, covered in sand.
72.0	Vignetten (sceneLayerText)	101	1/26	In the midground, on the right side of the scene: a queue of about ten people at the ice cream stand.
72.0	Vignetten (sceneLayerText)	99	1/26	In the background, on the left side of the scene: someone balancing on a stone at the water's edge.
72.0	Vignetten (sceneLayerText)	119	1/26	In the background, on the right side of the scene: a marmot disappearing into its hole with two kids kneeling in front.
72.0	Vignetten (sceneLayerText)	85	1/26	In the background, on the left side of the scene: a dog fetching a way too big stick.
72.0	Vignetten (sceneLayerText)	103	1/26	In the background, on the left side of the scene: a backpack opened with half its contents falling out.
72.0	Vignetten (sceneLayerText)	104	2/26	In the background, on the left side of the scene: someone carrying a stack of crates with no view ahead.
72.0	Vignetten (sceneLayerText)	98	1/26	In the background, on the right side of the scene: a child wedged in the climbing net being freed.
72.3	Vignetten (sceneLayerText)	125	3/26	In the midground, on the right side of the scene: a dozen people packed onto and around one single sofa in front of the tree.
73.0	Vignetten (sceneLayerText)	101	2/26	In the background, on the left side of the scene: potatoes rolling across the yard from a burst sack.
73.0	Vignetten (sceneLayerText)	92	1/26	In the midground, on the left side of the scene: a goose chasing the farmer across the yard.
73.0	Vignetten (sceneLayerText)	101	2/26	In the background, on the left side of the scene: two goats standing on the roof of the chicken coop.
73.0	Vignetten (sceneLayerText)	99	1/26	In the midground, on the right side of the scene: a child bottle-feeding a lamb and getting nudged.
73.0	Vignetten (sceneLayerText)	100	1/26	In the midground, on the right side of the scene: a child picking cherries with already red fingers.
73.0	Vignetten (sceneLayerText)	112	2/26	In the background, on the left side of the scene: a group of ten carol singers with lanterns outside the window.
73.0	Vignetten (sceneLayerText)	131	1/26	In the midground, on the left side of the scene: a family of eight squeezed around the dinner table, plates and glasses everywhere.
73.0	densityInstruction	141	2/26	Inside the cut-open building that means every room, the stairs, the doorways and the corners, right through to the furthest room at the back.
73.0	Vignetten (sceneLayerText)	98	2/26	In the background, on the left side of the scene: kids digging a tunnel and meeting in the middle.
73.0	Vignetten (sceneLayerText)	99	2/26	In the midground, on the right side of the scene: someone hauling a huge air mattress to the water.
73.0	Vignetten (sceneLayerText)	101	1/26	In the midground, on the left side of the scene: someone buried in sand with only their head showing.
73.0	Vignetten (sceneLayerText)	94	1/26	In the midground, on the left side of the scene: a sandcastle getting a moat from two buckets.
73.0	Vignetten (sceneLayerText)	88	1/26	In the midground, on the right side of the scene: someone wringing out a dripping towel.
73.0	Vignetten (sceneLayerText)	89	1/26	In the midground, on the left side of the scene: a child drinking from a mountain stream.
73.0	Vignetten (sceneLayerText)	115	1/26	In the midground, on the left side of the scene: someone relacing their hiking boots with the backpack beside them.
73.0	Vignetten (sceneLayerText)	96	1/26	In the midground, on the right side of the scene: a marmot whistling loudly, startling everyone.
73.0	Vignetten (sceneLayerText)	118	1/26	In the midground, on the right side of the scene: a marmot disappearing into its hole with two kids kneeling in front.
